case,class,arrival,service,departure,server,arr_nis,arr_niq,sojourn,cum_arrival,arr_nservice,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2,last_remaining_los
139,0,1.4069404370266436,1.4069404370266436,1.6463824826393996,0,29,0,0.23944204561275595,140,29,6,12,11,0.0450124196595203
140,2,1.4071911841660425,1.4071911841660425,1.7212279421075447,8,30,0,0.3140367579415022,141,30,6,13,11,0.23919129847335707
141,0,1.409781976445518,1.409781976445518,1.5255583171771812,19,31,0,0.11577634073166321,142,31,6,13,12,0.31144596566202676
142,1,1.4243689802378086,1.4243689802378086,1.4689026573932158,10,30,0,0.044533677155407236,143,30,6,12,12,0.1011893369393726
143,0,1.4293370907121128,1.4293370907121128,1.4619686864911854,12,31,0,0.0326315957790726,144,31,7,12,12,0.039565566681103004
144,1,1.4341123054324951,1.4341123054324951,2.320056801923167,22,32,0,0.885944496490672,145,32,7,13,12,0.02785638105869026
145,2,1.434888243318638,1.434888243318638,2.1794298735733526,30,33,0,0.7445416302547145,146,33,8,13,12,0.885168558604529
146,1,1.4698773376359568,1.4698773376359568,2.2103604314325214,1,27,0,0.7404830937965645,147,27,5,9,13,0.7095525359373958
147,0,1.4796582112025656,1.4796582112025656,1.6671011115371572,10,27,0,0.18744290033459166,148,27,6,8,13,0.7307022202299558
148,1,1.4930064844869229,1.4930064844869229,1.645996294163746,12,28,0,0.15298980967682319,149,28,6,9,13,0.17409462705023437
149,0,1.4954269172044603,1.4954269172044603,1.7699370604568072,16,29,0,0.2745101432523469,150,29,7,9,13,0.15056937695928574
150,0,1.495819491157128,1.495819491157128,1.553404822341975,18,30,0,0.05758533118484688,151,30,7,10,13,0.2741175692996791
151,0,1.5028080835064277,1.5028080835064277,4.0208978484951245,9,30,0,2.518089764988697,152,30,7,11,12,0.05059673883554727
152,2,1.508962676110558,1.508962676110558,2.7874519816370125,20,31,0,1.2784893055264546,153,31,7,12,12,2.511935172384567
153,0,1.5130151477369531,1.5130151477369531,2.120539994702167,27,32,0,0.6075248469652137,154,32,7,12,13,1.2744368339000594
154,2,1.5131924976402555,1.5131924976402555,1.6151626310980312,29,33,0,0.10197013345777561,155,33,7,13,13,0.6073474970619113
155,1,1.5176070258950929,1.5176070258950929,1.621118343417282,32,34,0,0.10351131752218912,156,34,7,13,14,0.09755560520293827
156,2,1.5220958859372715,1.5220958859372715,2.583809434884789,34,35,0,1.0617135489475176,157,35,8,13,14,0.09902245748001048
157,0,1.526679648940015,1.526679648940015,1.9990301045136296,19,35,0,0.47235045557361466,158,35,8,12,15,1.0571297859447741
158,0,1.5271896806767091,1.5271896806767091,1.817624852000784,35,36,0,0.2904351713240749,159,36,8,13,15,0.4718404238369205
159,0,1.5342185392410332,1.5342185392410332,1.6217982996898446,36,37,0,0.08757976044881133,160,37,8,14,15,0.2834063127597508
160,2,1.539368939389715,1.539368939389715,1.8460680871233144,37,38,0,0.3066991477335994,161,38,8,15,15,0.0824293603001296
161,2,1.544217517448557,1.544217517448557,4.914980660013693,38,39,0,3.3707631425651363,162,39,8,15,16,0.3018505696747573
162,1,1.5499066744663617,1.5499066744663617,1.5810281006498976,40,40,0,0.031121426183535972,163,40,8,15,17,3.3650739855473315
163,0,1.5597385158224568,1.5597385158224568,1.5642196072429704,18,38,0,0.004481091420513561,164,38,9,12,17,0.02128958482744081
164,0,1.5669878987870456,1.5669878987870456,1.6697279490457533,18,38,0,0.1027400502587077,165,38,9,12,17,-0.0027682915440752076
165,2,1.5785553555039438,1.5785553555039438,2.0144758755532277,24,38,0,0.43592052004928394,166,38,9,12,17,0.09117259354180951
166,2,1.6050654293684068,1.6050654293684068,2.458578944666174,25,38,0,0.8535135152977671,167,38,8,12,18,0.4094104461848209
167,0,1.6235672045698253,1.6235672045698253,2.7136280049507238,23,35,0,1.0900608003808985,168,35,7,11,17,0.8350117400963486
168,0,1.6280423988417492,1.6280423988417492,1.6435880986994331,26,36,0,0.015545699857683948,169,36,7,12,17,1.0855856061089746
169,2,1.632898210166036,1.632898210166036,1.9195680804027255,29,37,0,0.28666987023668944,170,37,7,13,17,0.01068988853339703
170,2,1.6388894406362515,1.6388894406362515,3.0215393387981804,4,37,0,1.3826498981619288,171,37,7,13,17,0.280678639766474
171,0,1.6437592871971132,1.6437592871971132,2.916097674192865,26,37,0,1.2723383869957516,172,37,7,12,18,1.3777800516010672
172,0,1.6470244752129413,1.6470244752129413,1.7125008334786758,0,36,0,0.0654763582657345,173,36,6,12,18,1.2690731989799235
173,0,1.6667808809800968,1.6667808809800968,1.799262609716364,12,37,0,0.13248172873626718,174,37,6,13,18,0.045719952498578964
174,1,1.6684196830454356,1.6684196830454356,2.916899492987918,10,37,0,1.2484798099424823,175,37,6,13,18,0.13084292667092834
175,0,1.6782183408477862,1.6782183408477862,1.9639142349619207,18,37,0,0.28569589411413454,176,37,7,12,18,1.2386811521401317
176,2,1.6823282611950208,1.6823282611950208,2.319846375818899,32,38,0,0.6375181146238784,177,38,7,13,18,0.2815859737669
177,1,1.7015923672782325,1.7015923672782325,1.770253822033024,13,38,0,0.06866145475479146,178,38,6,13,19,0.6182540085406667
178,1,1.7084636174164758,1.7084636174164758,2.5285731563547524,36,39,0,0.8201095389382766,179,39,7,13,19,0.06179020461654816
179,0,1.734342134443439,1.734342134443439,2.341115204942012,0,38,0,0.606773070498573,180,38,8,12,18,0.7942310219113133
180,2,1.7430621338268533,1.7430621338268533,2.053248458832801,8,39,0,0.3101863250059478,181,39,8,13,18,0.5980530711151588
181,1,1.7503441790846692,1.7503441790846692,2.0865582376679126,40,40,0,0.3362140585832434,182,40,8,13,19,0.30290427974813183
182,0,1.7608262275190698,1.7608262275190698,1.8869413906135983,41,41,0,0.12611516309452853,183,41,9,13,19,0.3257320101488428
183,2,1.7638565864571678,1.7638565864571678,2.9508398975670413,42,42,0,1.1869833111098735,184,42,9,14,19,0.12308480415643053
184,1,1.778181964519433,1.778181964519433,2.084456675950437,3,39,0,0.3062747114310038,185,39,7,13,19,1.1726579330476083
185,2,1.7916658196251272,1.7916658196251272,2.56169696215779,5,40,0,0.7700311425326627,186,40,8,13,19,0.29279085632530966
186,0,1.7987210761984458,1.7987210761984458,2.4717980918658724,13,41,0,0.6730770156674266,187,41,8,13,20,0.7629758859593441
187,0,1.8011913173263658,1.8011913173263658,2.653264680297532,12,41,0,0.8520733629711663,188,41,8,13,20,0.6706067745395066
188,1,1.8019466559814368,1.8019466559814368,1.832308666331782,16,42,0,0.030362010350345248,189,42,8,14,20,0.8513180243160954
189,0,1.8104396891544747,1.8104396891544747,2.1275731148660757,17,42,0,0.31713342571160097,190,42,9,14,19,0.02186897717730729
190,1,1.8333313417711383,1.8333313417711383,2.40498412989908,16,41,0,0.5716527881279418,191,41,8,14,19,0.2942417730949374
191,0,1.8422884326207487,1.8422884326207487,2.07269055121198,28,41,0,0.2304021185912315,192,41,9,13,19,0.5626956972783315
192,2,1.8423261767079695,1.8423261767079695,3.3147829635128985,35,42,0,1.472456786804929,193,42,9,14,19,0.2303643745040107
193,1,1.8505514793869176,1.8505514793869176,1.898736267296524,37,42,0,0.04818478790960645,194,42,9,14,19,1.464231484125981
194,2,1.8515600916635584,1.8515600916635584,2.064877972706818,43,43,0,0.21331788104325944,195,43,10,14,19,0.04717617563296561
195,0,1.8612167150524792,1.8612167150524792,1.9982118928662849,44,44,0,0.13699517781380566,196,44,10,14,20,0.20366125765433862
196,0,1.9015632703504897,1.9015632703504897,2.5085156768822907,37,43,0,0.606952406531801,197,43,9,14,20,0.0966486225157952
197,0,1.902690765540512,1.902690765540512,1.94164049895414,41,44,0,0.03894973341362795,198,44,9,15,20,0.6058249113417786
198,2,1.9170946206001087,1.9170946206001087,2.4420225181377653,45,45,0,0.5249278975376566,199,45,9,16,20,0.024545878354031325
199,0,1.92375234050273,1.92375234050273,2.132400383995505,15,44,0,0.20864804349277488,200,44,9,16,19,0.5182701776350354
200,0,1.9248793727980853,1.9248793727980853,2.0512150172754544,29,45,0,0.1263356444773691,201,45,9,17,19,0.2075210111974195
201,0,1.9464247095503968,1.9464247095503968,2.324383114773583,41,45,0,0.37795840522318636,202,45,9,17,19,0.1047903077250576
202,1,1.9491192846508028,1.9491192846508028,2.489378963153592,46,46,0,0.5402596785027891,203,46,9,18,19,0.3752638301227804
203,0,1.953533987932561,1.953533987932561,2.1477294475640303,47,47,0,0.19419545963146922,204,47,10,18,19,0.5358449752210308
204,0,1.9535363374525057,1.9535363374525057,2.561182763005272,48,48,0,0.6076464255527663,205,48,10,19,19,0.19419311011152462
205,0,1.9785204214310792,1.9785204214310792,2.065579010928688,18,48,0,0.08705858949760859,206,48,10,19,19,0.5826623415741927
206,0,1.985895884312881,1.985895884312881,2.02871267322447,49,49,0,0.04281678891158891,207,49,10,20,19,0.07968312661580668
207,1,1.9883144482053263,1.9883144482053263,2.007857218128984,50,50,0,0.019542769923657888,208,50,10,21,19,0.040398225019143696
208,1,1.991203223681946,1.991203223681946,2.097187235106027,51,51,0,0.10598401142408109,209,51,11,21,19,0.0166539944470383
209,0,2.004588199918135,2.004588199918135,2.340037319013724,19,50,0,0.33544911909558905,210,50,12,19,19,0.09259903518789203
