,arrival,departure,sojourn,nis_arrival,arrival_count,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2
347,1549.0002999999992,1895.5143126211244,346.5140126211252,49,347,26,16,7
348,1561.0002999999992,1896.103133022596,335.10283302259677,47,348,25,15,7
349,1567.0002999999992,1788.8239487078743,221.823648707875,48,349,26,15,7
350,1578.0002999999992,1802.9552740541142,224.95497405411493,44,350,24,14,6
351,1587.0002999999992,1930.7080807623124,343.7077807623132,45,351,25,14,6
352,1593.0002999999992,1778.0481131088015,185.0478131088023,46,352,26,14,6
353,1611.0002999999992,1639.2933184099852,28.29301840998596,45,353,26,14,5
354,1616.0002999999992,1838.0600915264804,222.05979152648115,45,354,25,14,6
355,1625.0002999999992,2013.2271765298863,388.226876529887,45,355,25,14,6
356,1643.0002999999992,1906.8520888817313,263.8517888817321,40,356,23,12,5
357,1646.0002999999992,1697.9922937766046,51.99199377660534,41,357,24,12,5
358,1660.0002999999992,1968.2662264014507,308.26592640145145,42,358,25,12,5
359,1669.0002999999992,1930.252813681072,261.25251368107274,42,359,26,12,4
360,1677.0002999999992,1829.2493917599074,152.2490917599082,42,360,26,12,4
361,1695.0002999999992,2234.7890461480556,539.7887461480564,42,361,27,11,4
362,1696.0002999999992,2357.2738520700395,661.2735520700403,43,362,27,12,4
363,1708.0002999999992,2097.149475633344,389.14917563334484,40,363,23,13,4
364,1721.0002999999992,2306.2295041639536,585.2292041639544,40,364,24,12,4
365,1740.0002999999992,1982.6987695622481,242.69846956224887,39,365,23,13,3
366,1748.0002999999992,1807.854107253355,59.85380725335585,40,366,24,13,3
367,1754.0002999999992,2102.322734795659,348.3224347956598,41,367,25,13,3
368,1761.0002999999992,2036.1025027540127,275.10220275401343,42,368,26,13,3
369,1761.0003099999992,1828.554177502022,67.55386750202274,43,369,27,13,3
370,1768.0003099999992,1911.227191685331,143.22688168533182,44,370,28,13,3
371,1792.0003099999992,1987.8900127527183,195.88970275271913,38,371,22,13,3
372,1832.0003099999992,1922.7539680278046,90.75365802780539,33,372,17,13,3
373,1843.0003099999992,2214.611732987828,371.61142298782875,33,373,17,13,3
374,1858.0003099999992,2428.789069070785,570.7887590707858,33,374,18,13,2
